respondent_id,h1n1_vaccine,seasonal_vaccine
0,0.029770537247973166,0.05731820809608727
1,0.35684451763269875,0.11240661056404255
2,0.027593596208548676,0.0557175999155925
3,0.03291107258003694,0.9152159917598247
4,0.04097254060573634,0.1165157857373236
5,0.07979411078356982,0.8978145981731579
6,0.029092854884133473,0.11252731126408327
7,0.4359145834952774,0.16957644262321384
8,0.03395851923185501,0.18465240512903022
9,0.12743202670060413,0.2369116371934691
10,0.04826815806256031,0.3305661087051349
11,0.13297426936233658,0.33522194814799655
12,0.08209690294086852,0.9579890966816618
13,0.027737836688839553,0.14772088302677253
14,0.4869241295349866,0.5053767706981632
15,0.07021910461496703,0.3235658013855692
16,0.5395615765146521,0.9434129422015419
17,0.16244347017014463,0.3175796458056218
18,0.41184506377618,0.8898410184566299
19,0.16104640246000554,0.763709384863564
20,0.269078582463515,0.35976683921912095
21,0.7144899410380121,0.5538428103812225
22,0.1674808452698652,0.21523434108213152
23,0.13232248290631088,0.06455586044274168
24,0.1860906845054874,0.17406518521935183
25,0.026441771885371848,0.19830724180403225
26,0.45319751780684286,0.899000284567829
27,0.036306391095439774,0.2748999751968695
28,0.02358748788808809,0.0708939369698718
29,0.34953053418827434,0.38538079254432406
30,0.09956470188910861,0.4027908793231897
31,0.06679513933045654,0.1061432033679243
32,0.09928509870338147,0.16807771237175742
33,0.8282916196770721,0.8809601584541409
34,0.2326484537414869,0.1701576029961795
35,0.5734855095046394,0.7531577476010936
36,0.08348888294859351,0.5400498407129259
37,0.01631032823310912,0.037807502274705376
38,0.45589886223868387,0.699521081074371
39,0.09649701797079645,0.5734611309155817
40,0.3180132190751016,0.2913809652636793
41,0.727097240816025,0.8284670934386611
42,0.03140756035063888,0.038472179457736205
43,0.42051731348585375,0.4363390970728697
44,0.02131662951319519,0.07705866354508542
45,0.031043375626383506,0.19604181124716344
46,0.25133630500714854,0.37369131832850494
47,0.15138054652688138,0.12588518055684764
48,0.37365610110528885,0.8684523455852917
49,0.6371063530139459,0.6310914513775401
50,0.11296064281026143,0.6067127174996825
51,0.15771333057018233,0.8732159358637713
52,0.18128487543660507,0.3347881977396694
53,0.0474366255659313,0.25573423624418395
54,0.05040851660558539,0.17304336581566426
55,0.12335064434699555,0.20805209289769064
56,0.11591511942299874,0.8857155532061628
57,0.24634795125382317,0.5437180833582969
58,0.1107495947766807,0.49177728768512685
59,0.09968914906685233,0.22986703229120892
60,0.7411210440780722,0.856384164542357
61,0.06514763157607784,0.590325581635149
62,0.03813358966101894,0.11818250826562014
63,0.7742230885629398,0.8096628335167129
64,0.0634075742721587,0.20675860431734752
65,0.028800946410865745,0.0890956868257338
66,0.0394367223623959,0.05606518186489122
67,0.1539556308905409,0.4342543653834907
68,0.0919510110487642,0.930608934873508
69,0.07330889654240334,0.7485224327325147
70,0.03777121207339519,0.2761068171769415
71,0.07985608332222517,0.9000557611142737
72,0.09851829042777972,0.28263639899195153
73,0.14313701257646283,0.9087558543910308
74,0.6456673349620435,0.7496083126352201
75,0.45373527819198733,0.7018781096308182
76,0.02247699355852775,0.4948040511863723
77,0.12866831593280176,0.9173717126054551
78,0.399395711051164,0.7037835678383195
79,0.1578428647831569,0.7501220605459855
80,0.02698621945949412,0.07415081519980264
81,0.21698520718190004,0.6972618202650489
82,0.7947555217364659,0.9014592352771851
83,0.596961643509759,0.6746533502471392
84,0.5659300789665468,0.9047314879603375
85,0.7730127054272301,0.9028143449981666
86,0.043586971084613325,0.04769319727969755
87,0.03935716242869379,0.10097011449659335
88,0.04201535942985911,0.6339813924529369
89,0.06118406420393169,0.10034862206455855
90,0.1478437004875064,0.2901177348898803
91,0.2478439173565518,0.8599008544462694
92,0.03007153908648495,0.04612672078010967
93,0.1370542323082673,0.26713962154243753
94,0.1767010630727442,0.46584334891759727
95,0.5256293489639335,0.5215527788775398
96,0.8857098367086339,0.9375662158144125
97,0.060762001275999906,0.5935246077370714
98,0.10265248806158192,0.04667970429322045
99,0.09278450564779263,0.7226952705916095
100,0.1073540651635631,0.29723156203457096
101,0.8263697013022472,0.8689929949263387
102,0.055837923956877956,0.7449757938523202
103,0.043624310093748744,0.2566623312845703
104,0.03150225074704239,0.2798571357857562
105,0.07925480863816486,0.409873715048865
106,0.03820399155690625,0.05883760013897119
107,0.26273841316134855,0.7650050898095629
108,0.43344226498826405,0.15926999928070024
109,0.10614165920986351,0.709369672439839
110,0.9022063029676343,0.9350168846202465
111,0.02318079591654919,0.07402356861708996
112,0.8046299305152507,0.8901236842199315
113,0.033869084754320586,0.25256676465499234
114,0.0480305976307104,0.38813288570169746
115,0.16209423289753738,0.3539316260620688
116,0.12368342947637759,0.6087066362583866
117,0.427126731445416,0.5877506417337989
118,0.12716436395142008,0.45612289186577265
119,0.08139554807579352,0.4325382064496127
120,0.02302016110828568,0.10924805159351775
121,0.05538636400911423,0.16101267383080084
122,0.842680114593775,0.9403839328454606
123,0.21281798420373915,0.7611213490063368
124,0.15823270467390466,0.1723858509640299
125,0.04000412307717279,0.7094109565410233
126,0.026588985842259865,0.1936183659720507
127,0.4224184194698211,0.7671889251949374
128,0.2095658472726765,0.939107390957402
129,0.031391923178221724,0.45511164085437833
130,0.06864377432256732,0.2289424576666615
131,0.08264782252506647,0.3757445293481661
132,0.12684188604962812,0.13936479429444007
